,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,35,17,18,27,2,6,87,27,60,83
0,2,Liverpool,36,18,18,23,9,4,75,27,48,78
2,3,Spurs,36,18,18,24,2,10,69,35,34,74
4,4,Man Utd,35,18,17,20,9,6,66,43,23,71
5,5,Chelsea,35,17,18,20,7,8,57,36,21,68
3,6,Arsenal,35,17,18,19,8,8,69,46,23,66
6,7,Wolves,36,18,18,14,10,12,43,41,2,65
7,8,Watford,36,18,18,15,8,13,47,48,-1,54
9,9,Leicester,35,18,17,15,6,14,47,44,3,52
10,10,Everton,36,18,18,13,9,14,53,50,3,49
11,11,Bournemouth,36,18,18,13,6,17,53,62,-9,47
8,12,West Ham,36,18,18,12,9,15,43,51,-8,46
15,13,Southampton,36,18,18,11,9,16,42,56,-14,45
13,14,Crystal Palace,36,18,18,11,7,18,42,51,-9,42
12,15,Newcastle,36,18,18,10,9,17,34,46,-12,42
14,16,Brighton,36,18,18,12,6,18,39,56,-17,42
16,17,Burnley,35,18,17,10,6,19,39,64,-25,36
17,18,Cardiff,36,18,18,10,5,21,35,68,-33,35
18,19,Fulham,36,18,18,4,7,25,35,79,-44,19
19,20,Huddersfield,36,18,18,3,8,25,23,68,-45,17
