,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,29,8,1,85,20,65,95
1,2,Man City,38,19,19,29,4,5,88,25,63,91
3,3,Arsenal,38,19,19,23,8,7,78,44,34,78
4,4,Man Utd,38,19,19,22,8,8,74,47,27,76
2,5,Spurs,38,19,19,24,2,12,67,38,29,74
5,6,Chelsea,38,19,19,20,8,10,59,39,20,69
6,7,Wolves,38,19,19,14,8,16,50,58,-8,63
8,8,West Ham,38,19,19,15,6,17,51,60,-9,52
9,9,Leicester,38,19,19,15,5,18,51,56,-5,51
7,10,Watford,38,19,19,13,9,16,51,63,-12,49
13,11,Crystal Palace,38,19,19,13,7,18,46,51,-5,48
10,12,Everton,38,19,19,11,12,15,49,51,-2,46
14,13,Brighton,38,19,19,13,7,18,43,55,-12,46
11,14,Bournemouth,38,19,19,12,8,18,53,70,-17,46
12,15,Newcastle,38,19,19,11,9,18,36,50,-14,45
15,16,Southampton,38,19,19,10,11,17,48,60,-12,44
16,17,Burnley,38,19,19,9,10,19,42,67,-25,37
17,18,Cardiff,38,19,19,10,5,23,35,69,-34,35
18,19,Fulham,38,19,19,8,8,22,42,78,-36,32
19,20,Huddersfield,38,19,19,5,5,28,23,70,-47,20
