,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,28,6,4,94,27,67,90
0,2,Liverpool,38,19,19,27,8,3,86,25,61,89
3,3,Arsenal,38,19,19,23,8,7,79,48,31,77
2,4,Spurs,37,19,18,23,3,11,69,46,23,72
4,5,Man Utd,37,19,18,19,8,10,66,50,16,65
5,6,Chelsea,38,19,19,19,8,11,59,45,14,65
6,7,Wolves,38,19,19,15,8,15,50,52,-2,53
8,8,West Ham,37,18,19,14,9,14,49,55,-6,51
9,9,Leicester,38,19,19,14,7,17,47,52,-5,49
14,10,Brighton,38,19,19,13,8,17,46,52,-6,47
7,11,Watford,37,19,18,13,8,16,49,56,-7,47
10,12,Everton,37,18,19,12,10,15,50,52,-2,46
13,13,Crystal Palace,38,19,19,12,9,17,49,51,-2,45
12,14,Newcastle,38,19,19,12,8,18,35,47,-12,44
15,15,Southampton,37,19,18,11,10,16,47,60,-13,43
11,16,Bournemouth,38,19,19,12,7,19,51,67,-16,43
16,17,Burnley,38,19,19,10,8,20,43,72,-29,38
17,18,Cardiff,37,18,19,9,6,22,32,68,-36,33
18,19,Fulham,38,19,19,8,6,24,42,79,-37,30
19,20,Huddersfield,37,18,19,6,7,24,25,64,-39,25
