,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,36,18,18,29,3,4,93,24,69,90
0,2,Liverpool,36,18,18,25,9,2,78,23,55,84
2,3,Spurs,36,18,18,22,3,11,69,43,26,69
3,4,Arsenal,36,18,18,21,6,9,72,47,25,69
5,5,Chelsea,36,18,18,20,6,10,55,37,18,66
4,6,Man Utd,36,18,18,19,7,10,64,48,16,64
7,7,Watford,36,18,18,16,8,12,53,49,4,56
6,8,Wolves,36,18,18,15,8,13,47,46,1,53
10,9,Everton,36,18,18,15,7,14,51,45,6,52
9,10,Leicester,36,18,18,15,6,15,48,47,1,51
8,11,West Ham,36,18,18,15,6,15,47,53,-6,51
14,12,Brighton,36,18,18,13,6,17,45,53,-8,45
13,13,Crystal Palace,36,18,18,12,6,18,42,49,-7,42
11,14,Bournemouth,36,18,18,12,6,18,49,64,-15,42
12,15,Newcastle,36,18,18,10,9,17,34,47,-13,39
15,16,Southampton,36,18,18,9,12,15,40,58,-18,39
17,17,Cardiff,36,18,18,9,6,21,33,68,-35,33
16,18,Burnley,36,18,18,8,7,21,39,68,-29,31
18,19,Fulham,36,18,18,4,7,25,33,79,-46,19
19,20,Huddersfield,36,18,18,4,6,26,23,67,-44,18
