,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,29,8,1,85,21,64,95
1,2,Man City,38,19,19,27,3,8,92,37,55,84
5,3,Chelsea,38,19,19,23,6,9,62,43,19,76
4,4,Man Utd,38,19,19,21,8,9,73,51,22,73
2,5,Spurs,38,19,19,23,3,12,65,40,25,72
3,6,Arsenal,38,19,19,21,7,10,76,52,24,71
6,7,Wolves,38,19,19,14,9,15,43,47,-4,64
7,8,Watford,38,19,19,18,7,13,60,52,8,62
10,9,Everton,38,19,19,17,7,14,62,53,9,59
8,10,West Ham,38,19,19,15,6,17,49,57,-8,52
11,11,Bournemouth,38,19,19,14,7,17,55,64,-9,51
9,12,Leicester,38,19,19,14,7,17,50,55,-5,50
14,13,Brighton,38,19,19,13,9,16,43,52,-9,48
13,14,Crystal Palace,38,19,19,11,7,20,43,56,-13,42
15,15,Southampton,38,19,19,9,12,17,43,61,-18,42
12,16,Newcastle,38,19,19,10,8,20,35,52,-17,41
16,17,Burnley,38,19,19,11,6,21,45,70,-25,39
17,18,Cardiff,38,19,19,9,4,25,33,74,-41,31
18,19,Fulham,38,19,19,8,5,25,42,80,-38,29
19,20,Huddersfield,38,19,19,5,7,26,26,65,-39,22
