,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,25,7,1,77,19,58,82
1,2,Man City,32,15,17,25,3,4,85,24,61,78
2,3,Spurs,34,17,17,22,2,10,64,36,28,68
3,4,Arsenal,33,16,17,19,7,7,65,42,23,64
5,5,Chelsea,33,16,17,19,6,8,58,38,20,63
4,6,Man Utd,32,17,15,18,7,7,62,44,18,61
6,7,Wolves,34,17,17,15,9,10,46,39,7,54
7,8,Watford,33,17,16,13,8,12,46,48,-2,47
9,9,Leicester,34,17,17,13,6,15,42,45,-3,45
8,10,West Ham,33,16,17,13,6,14,44,51,-7,45
10,11,Everton,34,17,17,12,7,15,45,46,-1,43
12,12,Newcastle,34,17,17,11,9,14,34,41,-7,42
11,13,Bournemouth,34,17,17,12,5,17,46,62,-16,41
14,14,Brighton,34,17,17,11,7,16,37,44,-7,40
13,15,Crystal Palace,33,17,16,10,7,16,41,45,-4,37
16,16,Burnley,34,17,17,9,6,19,36,63,-27,33
17,17,Cardiff,34,17,17,9,6,19,33,62,-29,33
15,18,Southampton,34,17,17,7,11,16,37,59,-22,32
18,19,Fulham,34,17,17,4,5,25,31,77,-46,17
19,20,Huddersfield,34,17,17,3,6,25,21,65,-44,15
