,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,28,8,2,86,23,63,92
1,2,Man City,38,19,19,29,4,5,96,28,68,91
2,3,Spurs,38,19,19,27,1,10,72,39,33,82
3,4,Arsenal,38,19,19,21,10,7,74,48,26,73
4,5,Man Utd,38,19,19,21,9,8,71,49,22,72
5,6,Chelsea,38,19,19,20,9,9,61,40,21,69
8,7,West Ham,37,18,19,16,6,15,51,53,-2,54
7,8,Watford,37,19,18,14,9,14,48,56,-8,51
9,9,Leicester,38,19,19,14,7,17,47,51,-4,49
6,10,Wolves,38,19,19,13,10,15,40,45,-5,49
11,11,Bournemouth,38,19,19,13,6,19,50,64,-14,45
14,12,Brighton,38,19,19,12,8,18,43,54,-11,44
10,13,Everton,38,19,19,12,7,19,48,58,-10,43
15,14,Southampton,38,19,19,10,10,18,44,61,-17,40
17,15,Cardiff,38,19,19,11,6,21,36,70,-34,39
13,16,Crystal Palace,38,19,19,10,8,20,42,55,-13,38
16,17,Burnley,38,19,19,10,8,20,42,68,-26,38
12,18,Newcastle,38,19,19,9,10,19,34,50,-16,37
18,19,Fulham,38,19,19,8,6,24,35,76,-41,30
19,20,Huddersfield,38,19,19,7,6,25,37,69,-32,27
