,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,35,17,18,27,3,5,88,28,60,84
0,2,Liverpool,35,18,17,24,8,3,77,22,55,80
2,3,Spurs,35,18,17,23,1,11,65,38,27,70
3,4,Arsenal,35,17,18,20,6,9,73,48,25,67
4,5,Man Utd,35,18,17,19,8,8,68,49,19,67
6,6,Wolves,35,17,18,14,9,12,44,42,2,64
5,7,Chelsea,35,17,18,18,8,9,53,37,16,63
11,8,Bournemouth,35,17,18,14,5,16,56,62,-6,49
9,9,Leicester,35,18,17,14,5,16,44,48,-4,48
10,10,Everton,35,17,18,13,7,15,48,46,2,47
7,11,Watford,35,18,17,12,9,14,47,54,-7,46
8,12,West Ham,35,17,18,13,6,16,45,53,-8,46
15,13,Southampton,35,18,17,11,10,14,44,56,-12,46
13,14,Crystal Palace,35,18,17,12,6,17,40,46,-6,44
14,15,Brighton,35,18,17,12,6,17,36,47,-11,42
12,16,Newcastle,35,17,18,10,8,17,35,46,-11,41
16,17,Burnley,35,18,17,9,6,20,40,68,-28,33
17,18,Cardiff,35,17,18,9,6,20,31,67,-36,33
18,19,Fulham,35,18,17,7,6,22,36,73,-37,27
19,20,Huddersfield,35,17,18,5,5,25,21,61,-40,20
