,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,28,2,8,96,38,58,86
0,2,Liverpool,38,19,19,25,8,5,79,29,50,83
2,3,Spurs,38,19,19,25,2,11,74,41,33,77
4,4,Man Utd,38,19,19,22,9,7,77,49,28,75
3,5,Arsenal,38,19,19,22,8,8,76,52,24,74
5,6,Chelsea,38,19,19,21,7,10,61,45,16,70
6,7,Wolves,38,19,19,16,8,14,57,52,5,56
7,8,Watford,38,19,19,14,11,13,54,55,-1,53
12,9,Newcastle,38,19,19,13,10,15,44,44,0,49
8,10,West Ham,38,19,19,14,7,17,48,57,-9,49
10,11,Everton,38,19,19,13,9,16,51,50,1,48
11,12,Bournemouth,38,19,19,13,8,17,56,70,-14,47
9,13,Leicester,38,19,19,13,7,18,47,56,-9,46
13,14,Crystal Palace,38,19,19,11,10,17,46,54,-8,43
16,15,Burnley,38,19,19,12,6,20,51,75,-24,42
14,16,Brighton,38,19,19,10,9,19,42,57,-15,39
15,17,Southampton,38,19,19,9,12,17,47,65,-18,39
17,18,Cardiff,38,19,19,10,7,21,37,72,-35,37
18,19,Fulham,38,19,19,9,5,24,37,76,-39,32
19,20,Huddersfield,38,19,19,5,5,28,23,66,-43,20
