,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,31,15,16,25,2,4,81,21,60,77
0,2,Liverpool,32,16,16,23,8,1,70,18,52,77
3,3,Arsenal,32,15,17,19,6,7,65,41,24,63
2,4,Spurs,31,17,14,20,2,9,57,32,25,62
4,5,Man Utd,32,17,15,18,7,7,61,43,18,61
5,6,Chelsea,32,16,16,18,6,8,54,37,17,60
6,7,Wolves,33,16,17,14,8,11,43,39,4,50
8,8,West Ham,32,15,17,13,6,13,45,48,-3,45
9,9,Leicester,32,16,16,13,5,14,43,44,-1,44
7,10,Watford,32,17,15,12,7,13,43,48,-5,43
10,11,Everton,32,16,16,11,7,14,45,46,-1,40
14,12,Brighton,32,16,16,11,6,15,35,43,-8,39
11,13,Bournemouth,32,16,16,11,5,16,44,59,-15,38
13,14,Crystal Palace,31,15,16,10,6,15,37,41,-4,36
12,15,Newcastle,32,16,16,9,8,15,31,41,-10,35
15,16,Southampton,32,17,15,8,9,15,36,53,-17,33
16,17,Burnley,32,16,16,9,6,17,36,59,-23,33
17,18,Cardiff,32,15,17,9,4,19,31,61,-30,31
18,19,Fulham,32,16,16,4,5,23,29,72,-43,17
19,20,Huddersfield,32,16,16,3,5,24,18,58,-40,14
