,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,26,9,1,82,23,59,87
1,2,Man City,35,17,18,27,4,4,93,29,64,85
2,3,Spurs,36,18,18,23,2,11,66,39,27,71
5,4,Chelsea,35,17,18,20,7,8,57,40,17,68
3,5,Arsenal,35,17,18,20,6,9,72,50,22,67
6,6,Wolves,36,18,18,14,9,13,43,44,-1,64
4,7,Man Utd,35,18,17,17,8,10,63,51,12,61
7,8,Watford,36,18,18,16,8,12,51,47,4,57
10,9,Everton,36,18,18,14,9,13,51,45,6,52
8,10,West Ham,36,18,18,14,7,15,46,52,-6,50
9,11,Leicester,35,18,17,13,6,16,47,48,-1,46
13,12,Crystal Palace,36,18,18,11,8,17,44,48,-4,43
14,13,Brighton,35,18,17,11,8,16,41,49,-8,41
15,14,Southampton,36,18,18,9,11,16,41,58,-17,41
11,15,Bournemouth,36,18,18,11,6,19,46,69,-23,41
12,16,Newcastle,35,17,18,9,10,16,35,47,-12,40
17,17,Cardiff,36,18,18,9,7,20,35,65,-30,34
16,18,Burnley,35,18,17,9,6,20,39,67,-28,33
18,19,Fulham,36,18,18,6,7,23,36,78,-42,25
19,20,Huddersfield,36,18,18,5,6,25,23,62,-39,21
