,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,31,16,15,23,7,1,70,18,52,76
1,2,Man City,31,15,16,24,2,5,79,23,56,74
3,3,Arsenal,31,15,16,19,6,6,66,40,26,63
2,4,Spurs,30,16,14,20,1,9,57,32,25,61
4,5,Man Utd,30,16,14,17,7,6,58,40,18,58
5,6,Chelsea,31,15,16,17,7,7,50,33,17,58
6,7,Wolves,32,16,16,12,8,12,39,40,-1,44
7,8,Watford,31,16,15,12,7,12,42,46,-4,43
8,9,West Ham,31,15,16,12,6,13,41,46,-5,42
9,10,Leicester,31,16,15,12,5,14,40,43,-3,41
10,11,Everton,31,15,16,11,7,13,43,42,1,40
14,12,Brighton,32,16,16,11,7,14,39,43,-4,40
11,13,Bournemouth,31,15,16,11,5,15,43,56,-13,38
12,14,Newcastle,31,15,16,9,8,14,31,40,-9,35
13,15,Crystal Palace,30,15,15,9,6,15,36,41,-5,33
15,16,Southampton,32,17,15,8,9,15,36,53,-17,33
16,17,Burnley,32,16,16,9,6,17,36,59,-23,33
17,18,Cardiff,31,15,16,8,4,19,28,61,-33,28
18,19,Fulham,32,16,16,5,5,22,31,70,-39,20
19,20,Huddersfield,31,15,16,3,5,23,18,57,-39,14
