,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,32,16,16,23,7,2,72,21,51,76
1,2,Man City,31,15,16,24,2,5,80,23,57,74
2,3,Spurs,31,17,14,21,1,9,60,34,26,64
4,4,Man Utd,31,16,15,18,7,6,61,41,20,61
5,5,Chelsea,32,16,16,18,7,7,53,34,19,61
3,6,Arsenal,31,15,16,18,6,7,64,42,22,60
6,7,Wolves,32,16,16,14,8,10,42,37,5,50
8,8,West Ham,32,15,17,13,6,13,43,46,-3,45
9,9,Leicester,32,16,16,13,5,14,42,43,-1,44
7,10,Watford,32,17,15,12,8,12,43,47,-4,44
10,11,Everton,32,16,16,11,7,14,43,44,-1,40
11,12,Bournemouth,32,16,16,11,5,16,43,58,-15,38
14,13,Brighton,32,16,16,10,7,15,35,45,-10,37
13,14,Crystal Palace,31,15,16,10,6,15,39,41,-2,36
12,15,Newcastle,31,15,16,9,8,14,31,40,-9,35
15,16,Southampton,32,17,15,7,10,15,34,52,-18,31
16,17,Burnley,32,16,16,8,6,18,35,60,-25,30
17,18,Cardiff,32,15,17,8,6,18,29,59,-30,30
18,19,Fulham,32,16,16,5,5,22,31,71,-40,20
19,20,Huddersfield,32,16,16,3,5,24,18,60,-42,14
