,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,32,16,16,24,7,1,72,18,54,79
1,2,Man City,31,15,16,24,2,5,79,22,57,74
3,3,Arsenal,32,15,17,20,6,6,70,44,26,67
2,4,Spurs,32,17,15,21,1,10,61,35,26,64
4,5,Man Utd,32,17,15,18,7,7,65,43,22,63
5,6,Chelsea,32,16,16,18,6,8,52,35,17,61
6,7,Wolves,33,16,17,12,8,13,42,48,-6,57
7,8,Watford,32,17,15,14,7,11,47,47,0,50
8,9,West Ham,32,15,17,13,6,13,43,46,-3,46
9,10,Leicester,32,16,16,12,6,14,40,43,-3,43
10,11,Everton,32,16,16,11,7,14,43,44,-1,41
11,12,Bournemouth,32,16,16,11,6,15,43,56,-13,41
13,13,Crystal Palace,32,16,16,10,6,16,40,46,-6,38
12,14,Newcastle,32,16,16,9,8,15,33,43,-10,38
15,15,Southampton,32,17,15,8,9,15,37,52,-15,36
17,16,Cardiff,32,15,17,10,4,18,31,58,-27,34
14,17,Brighton,32,16,16,9,6,17,32,47,-15,33
16,18,Burnley,32,16,16,9,6,17,38,60,-22,33
18,19,Fulham,32,16,16,5,5,22,30,70,-40,20
19,20,Huddersfield,32,16,16,3,5,24,19,60,-41,14
