,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,29,8,1,91,24,67,95
1,2,Man City,38,19,19,30,4,4,97,27,70,94
4,3,Man Utd,38,19,19,22,9,7,76,51,25,75
3,4,Arsenal,38,19,19,22,8,8,81,52,29,74
2,5,Spurs,38,19,19,22,3,13,65,45,20,69
5,6,Chelsea,38,19,19,19,7,12,62,47,15,64
6,7,Wolves,38,19,19,17,8,13,50,48,2,59
8,8,West Ham,38,19,19,17,6,15,53,56,-3,57
9,9,Leicester,38,19,19,14,8,16,48,55,-7,50
7,10,Watford,38,19,19,14,7,17,53,60,-7,49
13,11,Crystal Palace,38,19,19,14,6,18,51,52,-1,48
10,12,Everton,38,19,19,12,10,16,52,54,-2,46
14,13,Brighton,38,19,19,12,8,18,42,55,-13,44
15,14,Southampton,38,19,19,10,10,18,46,65,-19,40
11,15,Bournemouth,38,19,19,11,7,20,50,72,-22,40
16,16,Burnley,38,19,19,10,9,19,44,68,-24,39
12,17,Newcastle,38,19,19,9,8,21,33,53,-20,35
17,18,Cardiff,38,19,19,10,4,24,36,74,-38,34
18,19,Fulham,38,19,19,8,6,24,37,75,-38,30
19,20,Huddersfield,38,19,19,7,6,25,30,64,-34,27
