,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,30,3,5,96,27,69,93
0,2,Liverpool,38,19,19,26,10,2,82,24,58,88
4,3,Man Utd,38,19,19,23,8,7,79,49,30,77
3,4,Arsenal,38,19,19,22,7,9,74,49,25,73
5,5,Chelsea,38,19,19,21,8,9,68,43,25,71
2,6,Spurs,38,19,19,22,4,12,70,46,24,70
6,7,Wolves,38,19,19,15,11,12,50,45,5,56
10,8,Everton,38,19,19,15,7,16,52,51,1,52
11,9,Bournemouth,38,19,19,14,8,16,54,66,-12,50
7,10,Watford,37,19,18,13,8,16,53,62,-9,47
14,11,Brighton,38,19,19,12,10,16,45,55,-10,46
13,12,Crystal Palace,38,19,19,12,9,17,47,47,0,45
9,13,Leicester,38,19,19,13,6,19,43,53,-10,45
8,14,West Ham,37,18,19,12,7,18,44,60,-16,43
12,15,Newcastle,38,19,19,10,12,16,38,50,-12,42
16,16,Burnley,38,19,19,10,9,19,41,66,-25,39
15,17,Southampton,38,19,19,9,11,18,42,64,-22,38
17,18,Cardiff,38,19,19,10,5,23,32,71,-39,35
18,19,Fulham,38,19,19,8,5,25,44,79,-35,29
19,20,Huddersfield,38,19,19,5,6,27,24,71,-47,21
