,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,27,9,2,81,22,59,90
1,2,Man City,38,19,19,28,4,6,89,27,62,88
3,3,Arsenal,38,19,19,23,8,7,75,47,28,77
2,4,Spurs,38,19,19,23,4,11,68,38,30,73
4,5,Man Utd,38,19,19,21,10,7,69,49,20,73
5,6,Chelsea,38,19,19,21,8,9,62,40,22,71
9,7,Leicester,38,19,19,17,6,15,52,49,3,57
6,8,Wolves,38,19,19,15,10,13,48,44,4,55
8,9,West Ham,38,19,19,14,8,16,48,57,-9,50
7,10,Watford,38,19,19,14,7,17,50,55,-5,49
13,11,Crystal Palace,38,19,19,13,9,16,42,42,0,48
10,12,Everton,38,19,19,13,9,16,49,52,-3,48
14,13,Brighton,38,19,19,13,9,16,42,50,-8,48
15,14,Southampton,38,19,19,11,13,14,44,56,-12,46
11,15,Bournemouth,38,19,19,12,7,19,47,65,-18,43
12,16,Newcastle,38,19,19,9,11,18,31,47,-16,38
17,17,Cardiff,38,19,19,9,7,22,34,66,-32,34
16,18,Burnley,38,19,19,8,8,22,40,72,-32,32
18,19,Fulham,38,19,19,6,7,25,36,77,-41,25
19,20,Huddersfield,38,19,19,3,6,29,21,73,-52,15
