,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,34,17,17,25,8,1,81,22,59,83
1,2,Man City,34,16,18,26,3,5,86,28,58,81
2,3,Spurs,35,18,17,22,3,10,66,39,27,69
5,4,Chelsea,34,17,17,20,6,8,55,39,16,66
3,5,Arsenal,35,17,18,19,7,9,67,46,21,64
4,6,Man Utd,33,17,16,18,7,8,61,43,18,61
6,7,Wolves,35,17,18,15,9,11,44,40,4,54
7,8,Watford,35,18,17,15,8,12,53,52,1,53
8,9,West Ham,35,17,18,15,6,14,44,47,-3,51
9,10,Leicester,35,18,17,15,5,15,47,45,2,50
10,11,Everton,34,17,17,12,8,14,49,44,5,44
14,12,Brighton,35,18,17,12,8,15,38,46,-8,44
11,13,Bournemouth,35,17,18,11,6,18,46,67,-21,39
13,14,Crystal Palace,35,18,17,10,8,17,43,47,-4,38
12,15,Newcastle,34,17,17,10,8,16,35,47,-12,38
16,16,Burnley,34,17,17,9,7,18,43,64,-21,34
15,17,Southampton,34,17,17,7,11,16,39,59,-20,32
17,18,Cardiff,34,17,17,8,5,21,30,63,-33,29
18,19,Fulham,35,18,17,5,6,24,31,78,-47,21
19,20,Huddersfield,35,17,18,3,7,25,20,62,-42,16
