,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,28,9,1,83,22,61,93
1,2,Man City,38,19,19,29,4,5,95,31,64,91
4,3,Man Utd,38,19,19,23,8,7,77,47,30,77
3,4,Arsenal,38,19,19,22,9,7,78,45,33,75
2,5,Spurs,38,19,19,23,4,11,67,40,27,73
5,6,Chelsea,38,19,19,21,8,9,67,42,25,71
7,7,Watford,37,19,18,16,8,13,53,52,1,56
6,8,Wolves,38,19,19,15,8,15,52,55,-3,53
9,9,Leicester,38,19,19,15,7,16,51,53,-2,52
10,10,Everton,38,19,19,14,8,16,54,52,2,50
12,11,Newcastle,38,19,19,12,11,15,42,48,-6,47
11,12,Bournemouth,38,19,19,13,8,17,50,65,-15,47
8,13,West Ham,37,18,19,13,6,18,47,58,-11,45
14,14,Brighton,38,19,19,11,9,18,43,57,-14,42
13,15,Crystal Palace,38,19,19,11,7,20,46,52,-6,40
15,16,Southampton,38,19,19,9,12,17,42,64,-22,39
17,17,Cardiff,38,19,19,10,5,23,35,71,-36,35
16,18,Burnley,38,19,19,9,7,22,46,76,-30,34
18,19,Fulham,38,19,19,6,7,25,34,81,-47,25
19,20,Huddersfield,38,19,19,4,5,29,23,74,-51,17
