,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,28,8,2,89,24,65,92
1,2,Man City,38,19,19,28,3,7,90,31,59,87
4,3,Man Utd,38,19,19,22,9,7,76,48,28,77
2,4,Spurs,38,19,19,24,2,12,67,43,24,74
6,5,Wolves,38,19,19,17,9,12,52,44,8,73
5,6,Chelsea,38,19,19,20,10,8,64,42,22,71
3,7,Arsenal,38,19,19,20,9,9,73,52,21,70
7,8,Watford,38,19,19,15,8,15,51,52,-1,54
11,9,Bournemouth,38,19,19,15,7,16,55,65,-10,54
8,10,West Ham,38,19,19,15,7,16,45,54,-9,53
10,11,Everton,38,19,19,13,10,15,50,49,1,50
9,12,Leicester,38,19,19,14,7,17,47,51,-4,50
13,13,Crystal Palace,38,19,19,13,6,19,47,51,-4,47
14,14,Brighton,38,19,19,12,8,18,41,52,-11,44
12,15,Newcastle,38,19,19,10,10,18,35,50,-15,43
15,16,Southampton,38,19,19,9,12,17,40,58,-18,42
16,17,Burnley,38,19,19,9,11,18,41,67,-26,38
17,18,Cardiff,38,19,19,9,5,24,29,68,-39,32
18,19,Fulham,38,19,19,6,7,25,32,76,-44,25
19,20,Huddersfield,38,19,19,4,6,28,24,71,-47,18
