,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,31,2,5,95,28,67,95
0,2,Liverpool,38,19,19,26,9,3,81,25,56,87
3,3,Arsenal,38,19,19,23,8,7,75,45,30,78
2,4,Spurs,38,19,19,24,2,12,71,42,29,74
5,5,Chelsea,38,19,19,22,7,9,67,41,26,74
4,6,Man Utd,38,19,19,21,9,8,74,51,23,74
6,7,Wolves,38,19,19,16,9,13,48,45,3,70
7,8,Watford,37,19,18,15,9,13,51,52,-1,55
8,9,West Ham,37,18,19,14,8,15,52,58,-6,51
10,10,Everton,38,19,19,13,10,15,56,52,4,50
12,11,Newcastle,38,19,19,12,10,16,40,48,-8,49
11,12,Bournemouth,38,19,19,13,7,18,49,64,-15,48
9,13,Leicester,38,19,19,12,8,18,43,54,-11,45
14,14,Brighton,38,19,19,12,8,18,43,56,-13,44
16,15,Burnley,38,19,19,11,8,19,43,68,-25,41
13,16,Crystal Palace,38,19,19,10,8,20,45,59,-14,40
15,17,Southampton,38,19,19,8,12,18,42,62,-20,39
17,18,Cardiff,38,19,19,10,7,21,36,71,-35,37
19,19,Huddersfield,38,19,19,4,9,25,24,63,-39,21
18,20,Fulham,38,19,19,4,6,28,33,84,-51,18
