,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,36,18,18,29,2,5,90,27,63,89
0,2,Liverpool,36,18,18,24,9,3,76,25,51,81
3,3,Arsenal,36,18,18,22,7,7,73,44,29,74
4,4,Man Utd,36,18,18,21,7,8,71,48,23,72
5,5,Chelsea,36,18,18,21,7,8,62,37,25,71
2,6,Spurs,36,18,18,22,2,12,67,41,26,68
6,7,Wolves,36,18,18,15,9,12,46,42,4,67
7,8,Watford,36,18,18,14,9,13,47,51,-4,52
8,9,West Ham,36,18,18,13,8,15,50,57,-7,48
10,10,Everton,36,18,18,12,10,14,50,48,2,47
12,11,Newcastle,36,18,18,11,10,15,37,46,-9,46
9,12,Leicester,36,18,18,12,8,16,42,47,-5,45
11,13,Bournemouth,36,18,18,12,7,17,47,62,-15,45
14,14,Brighton,36,18,18,12,8,16,43,53,-10,44
13,15,Crystal Palace,36,18,18,10,8,18,44,56,-12,40
16,16,Burnley,36,18,18,11,7,18,40,61,-21,40
15,17,Southampton,36,18,18,8,12,16,41,58,-17,39
17,18,Cardiff,36,18,18,9,6,21,32,68,-36,33
18,19,Fulham,36,18,18,4,6,26,33,79,-46,18
19,20,Huddersfield,36,18,18,3,8,25,21,62,-41,17
