,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,24,7,2,72,21,51,79
1,2,Man City,32,15,17,25,3,4,83,21,62,78
2,3,Spurs,33,17,16,22,1,10,64,35,29,67
3,4,Arsenal,33,16,17,20,7,6,69,41,28,67
5,5,Chelsea,33,16,17,19,6,8,58,37,21,63
4,6,Man Utd,32,17,15,17,8,7,59,42,17,59
7,7,Watford,33,17,16,14,8,11,49,45,4,50
6,8,Wolves,33,16,17,14,8,11,42,39,3,50
8,9,West Ham,33,16,17,13,6,14,44,49,-5,45
10,10,Everton,33,16,17,12,7,14,47,46,1,43
9,11,Leicester,33,17,16,12,6,15,43,48,-5,42
11,12,Bournemouth,33,16,17,12,6,15,49,58,-9,42
13,13,Crystal Palace,33,17,16,10,6,17,39,44,-5,36
12,14,Newcastle,33,16,17,9,9,15,32,43,-11,36
15,15,Southampton,33,17,16,9,9,15,39,53,-14,36
14,16,Brighton,33,17,16,10,6,17,36,54,-18,36
16,17,Burnley,33,17,16,8,6,19,37,67,-30,30
17,18,Cardiff,33,16,17,8,4,21,28,66,-38,28
19,19,Huddersfield,33,16,17,5,5,23,23,59,-36,20
18,20,Fulham,33,17,16,4,6,23,29,74,-45,18
