,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,34,16,18,28,2,4,88,22,66,86
0,2,Liverpool,34,17,17,24,7,3,74,23,51,79
3,3,Arsenal,35,17,18,21,7,7,72,44,28,71
2,4,Spurs,35,18,17,22,1,12,65,39,26,67
5,5,Chelsea,34,17,17,20,6,8,60,37,23,67
4,6,Man Utd,33,17,16,19,7,7,65,45,20,66
6,7,Wolves,34,17,17,15,8,11,44,39,5,66
7,8,Watford,35,18,17,13,9,13,46,51,-5,49
8,9,West Ham,35,17,18,13,7,15,48,55,-7,47
10,10,Everton,34,17,17,12,9,13,48,45,3,46
9,11,Leicester,35,18,17,12,8,15,42,46,-4,45
11,12,Bournemouth,35,17,18,12,6,17,45,60,-15,44
14,13,Brighton,34,17,17,12,7,15,40,49,-9,43
12,14,Newcastle,34,17,17,9,10,15,33,44,-11,40
13,15,Crystal Palace,35,18,17,10,7,18,43,55,-12,39
16,16,Burnley,34,17,17,11,6,17,39,59,-20,39
15,17,Southampton,34,17,17,8,11,15,38,54,-16,38
17,18,Cardiff,34,17,17,9,4,21,30,66,-36,31
18,19,Fulham,35,18,17,4,5,26,32,78,-46,17
19,20,Huddersfield,35,17,18,3,7,25,20,61,-41,16
