,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,28,3,7,93,30,63,87
0,2,Liverpool,37,19,18,24,10,3,78,27,51,82
2,3,Spurs,37,19,18,25,1,11,71,40,31,76
3,4,Arsenal,38,19,19,21,10,7,77,46,31,73
4,5,Man Utd,37,19,18,21,7,9,70,48,22,70
5,6,Chelsea,37,18,19,20,8,9,61,43,18,68
6,7,Wolves,37,18,19,16,10,11,49,43,6,58
7,8,Watford,37,19,18,15,8,14,53,50,3,53
9,9,Leicester,37,19,18,14,7,16,47,52,-5,49
8,10,West Ham,37,18,19,14,7,16,49,55,-6,49
10,11,Everton,37,18,19,12,9,16,46,51,-5,45
14,12,Brighton,38,19,19,12,9,17,42,56,-14,45
11,13,Bournemouth,37,18,19,12,7,18,51,66,-15,43
12,14,Newcastle,37,18,19,10,11,16,36,48,-12,41
17,15,Cardiff,37,18,19,11,7,19,38,66,-28,40
15,16,Southampton,37,19,18,10,9,18,43,63,-20,39
13,17,Crystal Palace,37,19,18,10,7,20,40,51,-11,37
16,18,Burnley,38,19,19,9,10,19,41,68,-27,37
18,19,Fulham,37,19,18,8,5,24,40,77,-37,29
19,20,Huddersfield,37,18,19,4,7,26,20,65,-45,19
