,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,27,8,3,84,32,52,89
1,2,Man City,38,19,19,27,5,6,95,28,67,86
3,3,Arsenal,38,19,19,23,7,8,80,52,28,76
4,4,Man Utd,38,19,19,22,9,7,70,43,27,75
2,5,Spurs,38,19,19,23,2,13,72,45,27,71
5,6,Chelsea,38,19,19,19,8,11,63,47,16,65
7,7,Watford,38,19,19,16,9,13,58,53,5,57
10,8,Everton,38,19,19,15,8,15,57,53,4,53
8,9,West Ham,38,19,19,15,8,15,50,55,-5,53
9,10,Leicester,38,19,19,15,7,16,50,50,0,52
6,11,Wolves,38,19,19,14,8,16,44,50,-6,50
11,12,Bournemouth,38,19,19,13,7,18,55,71,-16,46
15,13,Southampton,38,19,19,11,10,17,49,61,-12,43
12,14,Newcastle,38,19,19,10,12,16,36,49,-13,42
14,15,Brighton,38,19,19,10,10,18,37,54,-17,40
17,16,Cardiff,38,19,19,11,7,20,38,65,-27,40
13,17,Crystal Palace,38,19,19,10,8,20,43,57,-14,38
16,18,Burnley,38,19,19,10,8,20,46,73,-27,38
18,19,Fulham,38,19,19,6,8,24,37,82,-45,26
19,20,Huddersfield,38,19,19,5,7,26,24,68,-44,22
