,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,24,7,2,75,22,53,79
1,2,Man City,32,15,17,25,3,4,83,22,61,78
2,3,Spurs,34,17,17,22,3,9,65,37,28,69
3,4,Arsenal,33,16,17,19,7,7,68,45,23,65
4,5,Man Utd,32,17,15,18,7,7,60,43,17,63
5,6,Chelsea,33,16,17,18,7,8,53,36,17,62
6,7,Wolves,33,16,17,13,8,12,43,43,0,60
7,8,Watford,33,17,16,14,8,11,46,45,1,51
9,9,Leicester,34,17,17,14,6,14,48,44,4,49
8,10,West Ham,33,16,17,13,6,14,44,48,-4,46
11,11,Bournemouth,34,17,17,12,6,16,48,64,-16,44
12,12,Newcastle,34,17,17,10,9,15,33,43,-10,42
10,13,Everton,33,16,17,11,7,15,46,48,-2,41
14,14,Brighton,34,17,17,10,9,15,36,46,-10,39
13,15,Crystal Palace,33,17,16,9,8,16,39,45,-6,37
15,16,Southampton,33,17,16,7,10,16,35,55,-20,34
16,17,Burnley,33,17,16,9,6,18,40,63,-23,33
17,18,Cardiff,33,16,17,9,6,18,30,59,-29,33
19,19,Huddersfield,34,17,17,3,8,23,21,60,-39,17
18,20,Fulham,33,17,16,4,5,24,29,74,-45,17
