,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,27,6,5,89,26,63,87
0,2,Liverpool,38,19,19,26,8,4,84,30,54,86
4,3,Man Utd,38,19,19,21,9,8,74,50,24,72
2,4,Spurs,38,19,19,22,4,12,64,40,24,70
5,5,Chelsea,38,19,19,21,7,10,61,40,21,70
3,6,Arsenal,38,19,19,19,11,8,68,45,23,68
9,7,Leicester,38,19,19,18,5,15,50,46,4,59
6,8,Wolves,38,19,19,16,9,13,51,51,0,57
10,9,Everton,38,19,19,16,8,14,57,46,11,56
7,10,Watford,38,19,19,15,9,14,51,56,-5,54
14,11,Brighton,38,19,19,13,10,15,45,51,-6,49
8,12,West Ham,38,19,19,14,7,17,44,53,-9,49
11,13,Bournemouth,38,19,19,13,7,18,51,68,-17,46
13,14,Crystal Palace,38,19,19,11,12,15,45,46,-1,45
12,15,Newcastle,38,19,19,11,11,16,42,52,-10,44
15,16,Southampton,38,19,19,9,11,18,44,59,-15,38
16,17,Burnley,38,19,19,9,9,20,42,71,-29,36
17,18,Cardiff,38,19,19,8,6,24,34,77,-43,30
19,19,Huddersfield,38,19,19,5,7,26,22,64,-42,22
18,20,Fulham,38,19,19,4,8,26,33,80,-47,20
