,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,27,9,2,87,27,60,90
1,2,Man City,38,19,19,27,4,7,88,28,60,85
2,3,Spurs,38,19,19,24,3,11,70,40,30,75
4,4,Man Utd,38,19,19,22,9,7,74,48,26,75
5,5,Chelsea,38,19,19,21,6,11,66,41,25,69
3,6,Arsenal,38,19,19,20,7,11,73,55,18,67
7,7,Watford,38,19,19,17,8,13,56,50,6,59
9,8,Leicester,38,19,19,17,6,15,51,49,2,57
6,9,Wolves,38,19,19,15,9,14,49,53,-4,54
10,10,Everton,38,19,19,13,10,15,53,52,1,49
8,11,West Ham,38,19,19,14,7,17,47,58,-11,49
14,12,Brighton,38,19,19,14,6,18,48,52,-4,48
13,13,Crystal Palace,38,19,19,12,10,16,48,51,-3,46
15,14,Southampton,38,19,19,11,11,16,50,63,-13,44
11,15,Bournemouth,38,19,19,13,5,20,52,67,-15,44
12,16,Newcastle,38,19,19,10,12,16,40,55,-15,42
16,17,Burnley,38,19,19,9,9,20,41,75,-34,36
17,18,Cardiff,38,19,19,8,8,22,30,71,-41,32
18,19,Fulham,38,19,19,5,7,26,36,82,-46,22
19,20,Huddersfield,38,19,19,5,6,27,25,67,-42,21
