,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,30,2,6,99,30,69,92
0,2,Liverpool,38,19,19,25,10,3,84,28,56,85
2,3,Spurs,38,19,19,26,3,9,71,37,34,81
5,4,Chelsea,38,19,19,20,10,8,60,39,21,71
4,5,Man Utd,38,19,19,20,8,10,70,52,18,70
6,6,Wolves,38,19,19,15,9,14,47,56,-9,67
3,7,Arsenal,38,19,19,19,8,11,72,56,16,66
7,8,Watford,38,19,19,17,8,13,60,55,5,60
9,9,Leicester,38,19,19,15,8,15,50,50,0,54
8,10,West Ham,38,19,19,14,8,16,50,59,-9,51
10,11,Everton,38,19,19,13,10,15,54,51,3,50
13,12,Crystal Palace,38,19,19,13,9,16,46,48,-2,50
15,13,Southampton,38,19,19,10,11,17,57,69,-12,44
12,14,Newcastle,38,19,19,10,11,17,36,50,-14,44
14,15,Brighton,38,19,19,12,6,20,47,60,-13,42
16,16,Burnley,38,19,19,12,6,20,43,64,-21,42
11,17,Bournemouth,38,19,19,11,5,22,50,74,-24,40
17,18,Cardiff,38,19,19,11,5,22,37,73,-36,38
18,19,Fulham,38,19,19,6,7,25,39,82,-43,25
19,20,Huddersfield,38,19,19,5,8,25,27,66,-39,23
