,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,32,16,16,24,7,1,73,18,55,79
1,2,Man City,31,15,16,24,2,5,79,22,57,74
4,3,Man Utd,32,17,15,18,8,6,62,43,19,62
2,4,Spurs,31,17,14,20,1,10,57,35,22,61
3,5,Arsenal,32,15,17,18,7,7,64,42,22,61
5,6,Chelsea,32,16,16,18,7,7,55,34,21,61
6,7,Wolves,33,16,17,13,9,11,41,39,2,48
7,8,Watford,32,17,15,12,8,12,46,49,-3,44
10,9,Everton,32,16,16,12,7,13,44,42,2,43
9,10,Leicester,32,16,16,12,6,14,41,44,-3,42
8,11,West Ham,32,15,17,12,6,14,41,47,-6,42
11,12,Bournemouth,32,16,16,11,6,15,44,57,-13,39
12,13,Newcastle,32,16,16,9,9,14,32,41,-9,36
14,14,Brighton,32,16,16,10,6,16,35,49,-14,36
13,15,Crystal Palace,31,15,16,9,6,16,36,42,-6,33
16,16,Burnley,32,16,16,9,6,17,37,59,-22,33
17,17,Cardiff,32,15,17,9,5,18,31,60,-29,32
15,18,Southampton,32,17,15,7,10,15,36,53,-17,31
18,19,Fulham,32,16,16,5,5,22,30,70,-40,20
19,20,Huddersfield,32,16,16,4,5,23,19,57,-38,17
