,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,31,16,15,23,7,1,70,18,52,76
1,2,Man City,31,15,16,24,2,5,79,22,57,74
2,3,Spurs,30,16,14,20,1,9,57,32,25,61
5,4,Chelsea,32,16,16,18,7,7,55,34,21,61
4,5,Man Utd,31,16,15,18,7,6,61,42,19,61
3,6,Arsenal,31,15,16,18,6,7,63,41,22,60
6,7,Wolves,32,16,16,13,8,11,40,38,2,47
7,8,Watford,32,17,15,12,8,12,46,49,-3,44
10,9,Everton,32,16,16,12,7,13,44,42,2,43
9,10,Leicester,32,16,16,12,6,14,41,44,-3,42
8,11,West Ham,32,15,17,12,6,14,41,47,-6,42
11,12,Bournemouth,32,16,16,11,6,15,44,57,-13,39
14,13,Brighton,32,16,16,10,6,16,35,49,-14,36
12,14,Newcastle,31,15,16,9,8,14,31,40,-9,35
13,15,Crystal Palace,31,15,16,9,6,16,36,42,-6,33
16,16,Burnley,32,16,16,9,6,17,37,59,-22,33
17,17,Cardiff,32,15,17,9,5,18,31,60,-29,32
15,18,Southampton,32,17,15,7,10,15,36,53,-17,31
18,19,Fulham,32,16,16,5,5,22,30,70,-40,20
19,20,Huddersfield,32,16,16,4,5,23,19,57,-38,17
