,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,29,8,1,88,24,64,95
1,2,Man City,38,19,19,27,3,8,96,37,59,84
4,3,Man Utd,38,19,19,22,9,7,72,47,25,77
2,4,Spurs,38,19,19,25,1,12,77,46,31,76
6,5,Wolves,38,19,19,16,8,14,49,48,1,69
3,6,Arsenal,38,19,19,19,8,11,71,52,19,66
5,7,Chelsea,38,19,19,19,8,11,57,43,14,66
7,8,Watford,38,19,19,17,8,13,57,52,5,60
11,9,Bournemouth,38,19,19,16,6,16,58,63,-5,56
8,10,West Ham,38,19,19,15,7,16,52,59,-7,53
10,11,Everton,38,19,19,14,8,16,51,50,1,51
12,12,Newcastle,38,19,19,12,10,16,38,46,-8,49
9,13,Leicester,38,19,19,13,8,17,47,55,-8,48
15,14,Southampton,38,19,19,11,9,18,51,65,-14,45
16,15,Burnley,38,19,19,13,6,19,45,69,-24,45
13,16,Crystal Palace,38,19,19,11,7,20,44,53,-9,42
14,17,Brighton,38,19,19,11,9,18,43,60,-17,42
17,18,Cardiff,38,19,19,11,5,22,38,74,-36,38
18,19,Fulham,38,19,19,5,6,27,37,83,-46,21
19,20,Huddersfield,38,19,19,3,8,27,26,71,-45,17
