,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,31,3,4,103,24,79,96
0,2,Liverpool,37,19,18,24,8,5,76,28,48,80
5,3,Chelsea,37,18,19,23,7,7,64,35,29,76
3,4,Arsenal,38,19,19,21,9,8,78,54,24,72
2,5,Spurs,37,19,18,22,3,12,67,46,21,69
4,6,Man Utd,37,19,18,20,9,8,67,50,17,69
6,7,Wolves,37,18,19,17,9,11,53,43,10,60
7,8,Watford,37,19,18,16,7,14,53,52,1,55
11,9,Bournemouth,37,18,19,15,5,17,57,64,-7,50
8,10,West Ham,37,18,19,14,8,15,49,57,-8,50
9,11,Leicester,37,19,18,14,6,17,48,54,-6,48
13,12,Crystal Palace,37,19,18,13,7,17,52,48,4,46
14,13,Brighton,38,19,19,13,7,18,45,56,-11,46
12,14,Newcastle,37,18,19,12,8,17,39,50,-11,44
10,15,Everton,37,18,19,11,8,18,48,55,-7,41
16,16,Burnley,38,19,19,11,7,20,48,70,-22,40
15,17,Southampton,37,19,18,10,9,18,44,61,-17,39
17,18,Cardiff,37,18,19,9,4,24,32,81,-49,31
18,19,Fulham,37,19,18,6,5,26,37,81,-44,23
19,20,Huddersfield,37,18,19,3,5,29,20,71,-51,14
