,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,32,16,16,24,7,1,74,19,55,79
1,2,Man City,31,15,16,24,2,5,79,22,57,74
3,3,Arsenal,32,15,17,18,8,6,66,42,24,62
2,4,Spurs,31,17,14,20,1,10,58,36,22,61
4,5,Man Utd,31,16,15,17,8,6,59,41,18,59
5,6,Chelsea,32,16,16,17,7,8,52,36,16,58
6,7,Wolves,32,16,16,13,9,10,41,38,3,48
7,8,Watford,32,17,15,13,8,11,47,45,2,47
8,9,West Ham,32,15,17,12,7,13,41,46,-5,43
9,10,Leicester,32,16,16,12,6,14,41,44,-3,42
10,11,Everton,32,16,16,11,8,13,43,42,1,41
14,12,Brighton,32,16,16,11,7,14,38,44,-6,40
11,13,Bournemouth,32,16,16,11,6,15,44,57,-13,39
12,14,Newcastle,32,16,16,9,9,14,33,42,-9,36
13,15,Crystal Palace,31,15,16,9,6,16,36,42,-6,33
17,16,Cardiff,32,15,17,9,4,19,30,60,-30,31
15,17,Southampton,32,17,15,7,9,16,36,59,-23,30
16,18,Burnley,32,16,16,8,6,18,36,61,-25,30
18,19,Fulham,32,16,16,5,5,22,30,70,-40,20
19,20,Huddersfield,32,16,16,4,5,23,19,57,-38,17
