,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,28,4,6,92,31,61,88
0,2,Liverpool,38,19,19,26,9,3,81,27,54,87
2,3,Spurs,38,19,19,24,4,10,71,42,29,76
3,4,Arsenal,38,19,19,23,6,9,77,49,28,76
4,5,Man Utd,38,19,19,21,10,7,85,50,35,75
6,6,Wolves,38,19,19,15,10,13,50,47,3,68
5,7,Chelsea,38,19,19,18,7,13,55,45,10,62
7,8,Watford,38,19,19,16,11,11,55,51,4,60
12,9,Newcastle,38,19,19,13,9,16,40,47,-7,51
9,10,Leicester,38,19,19,14,7,17,53,55,-2,50
8,11,West Ham,38,19,19,13,9,16,51,60,-9,49
14,12,Brighton,38,19,19,13,8,17,38,46,-8,47
13,13,Crystal Palace,38,19,19,12,8,18,48,50,-2,46
10,14,Everton,38,19,19,12,9,17,49,54,-5,46
11,15,Bournemouth,38,19,19,12,7,19,47,65,-18,45
15,16,Southampton,38,19,19,8,14,16,40,57,-17,41
16,17,Burnley,38,19,19,11,7,20,42,69,-27,40
17,18,Cardiff,38,19,19,11,5,22,34,69,-35,38
18,19,Fulham,38,19,19,6,7,25,36,79,-43,25
19,20,Huddersfield,38,19,19,5,7,26,24,75,-51,22
