,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,34,17,17,25,8,1,74,19,55,83
1,2,Man City,33,16,17,26,2,5,84,24,60,80
2,3,Spurs,34,17,17,22,2,10,61,36,25,68
4,4,Man Utd,33,17,16,20,7,6,70,44,26,67
3,5,Arsenal,34,17,17,19,7,8,70,47,23,64
5,6,Chelsea,34,17,17,17,8,9,53,38,15,59
7,7,Watford,34,17,17,14,7,13,51,50,1,49
6,8,Wolves,34,17,17,13,9,12,44,44,0,48
9,9,Leicester,34,17,17,14,5,15,45,45,0,47
8,10,West Ham,34,17,17,13,7,14,44,53,-9,46
10,11,Everton,34,17,17,12,8,14,48,46,2,44
14,12,Brighton,34,17,17,11,8,15,41,47,-6,41
11,13,Bournemouth,34,17,17,12,5,17,48,64,-16,41
12,14,Newcastle,34,17,17,10,9,15,33,43,-10,39
13,15,Crystal Palace,34,17,17,10,7,17,41,45,-4,37
16,16,Burnley,34,17,17,10,7,17,37,59,-22,37
15,17,Southampton,34,17,17,8,10,16,37,54,-17,34
17,18,Cardiff,34,17,17,10,4,20,31,62,-31,34
18,19,Fulham,34,17,17,5,5,24,31,78,-47,20
19,20,Huddersfield,34,17,17,3,5,26,19,64,-45,14
