,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,34,17,17,25,8,1,76,19,57,83
1,2,Man City,34,16,18,26,3,5,90,27,63,81
2,3,Spurs,35,18,17,23,2,10,66,37,29,71
3,4,Arsenal,35,17,18,19,8,8,66,47,19,65
4,5,Man Utd,33,17,16,18,9,6,60,40,20,63
5,6,Chelsea,34,17,17,18,7,9,54,38,16,61
6,7,Wolves,34,17,17,14,10,10,47,40,7,52
7,8,Watford,34,17,17,14,9,11,48,48,0,51
9,9,Leicester,34,17,17,14,5,15,44,45,-1,47
10,10,Everton,34,17,17,13,7,14,48,44,4,46
8,11,West Ham,34,17,17,13,6,15,42,49,-7,45
11,12,Bournemouth,35,17,18,13,6,16,49,60,-11,45
13,13,Crystal Palace,35,18,17,11,9,15,42,44,-2,42
14,14,Brighton,34,17,17,10,7,17,38,52,-14,37
12,15,Newcastle,34,17,17,9,8,17,34,47,-13,35
15,16,Southampton,34,17,17,8,10,16,41,61,-20,34
17,17,Cardiff,34,17,17,9,6,19,32,66,-34,33
16,18,Burnley,34,17,17,8,7,19,37,64,-27,31
18,19,Fulham,35,18,17,4,6,25,34,78,-44,18
19,20,Huddersfield,34,17,17,4,5,25,20,62,-42,17
