,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,34,17,17,25,8,1,76,19,57,83
1,2,Man City,33,16,17,26,3,4,87,23,64,81
2,3,Spurs,34,17,17,22,2,10,62,34,28,68
3,4,Arsenal,34,17,17,19,7,8,66,47,19,64
4,5,Man Utd,33,17,16,18,9,6,60,40,20,63
5,6,Chelsea,34,17,17,18,7,9,54,38,16,61
6,7,Wolves,34,17,17,14,10,10,47,40,7,52
7,8,Watford,34,17,17,14,9,11,48,48,0,51
9,9,Leicester,34,17,17,14,5,15,44,45,-1,47
10,10,Everton,34,17,17,13,7,14,48,44,4,46
8,11,West Ham,34,17,17,13,6,15,42,49,-7,45
11,12,Bournemouth,34,17,17,13,5,16,47,58,-11,44
13,13,Crystal Palace,34,17,17,11,8,15,42,44,-2,41
14,14,Brighton,34,17,17,10,7,17,38,52,-14,37
12,15,Newcastle,34,17,17,9,8,17,34,47,-13,35
15,16,Southampton,34,17,17,8,10,16,41,61,-20,34
17,17,Cardiff,34,17,17,9,6,19,32,66,-34,33
16,18,Burnley,34,17,17,8,7,19,37,64,-27,31
19,19,Huddersfield,34,17,17,4,5,25,20,62,-42,17
18,20,Fulham,34,17,17,4,5,25,32,76,-44,17
