,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,31,2,5,98,26,72,95
0,2,Liverpool,38,19,19,26,10,2,81,28,53,88
2,3,Spurs,37,19,18,25,3,9,74,40,34,78
4,4,Man Utd,38,19,19,21,8,9,71,50,21,73
6,5,Wolves,38,19,19,16,11,11,51,43,8,72
3,6,Arsenal,38,19,19,21,7,10,74,51,23,71
5,7,Chelsea,38,19,19,21,7,10,64,47,17,71
7,8,Watford,37,19,18,15,9,13,54,53,1,55
10,9,Everton,37,18,19,15,8,14,53,46,7,54
9,10,Leicester,38,19,19,15,6,17,48,54,-6,52
15,11,Southampton,38,19,19,10,13,15,51,60,-9,46
11,12,Bournemouth,38,19,19,13,5,20,55,71,-16,46
12,13,Newcastle,38,19,19,11,9,18,36,49,-13,45
8,14,West Ham,37,18,19,12,7,18,43,54,-11,44
13,15,Crystal Palace,38,19,19,11,8,19,46,57,-11,43
14,16,Brighton,38,19,19,11,8,19,42,61,-19,41
16,17,Burnley,38,19,19,11,6,21,46,72,-26,39
17,18,Cardiff,38,19,19,10,6,22,38,71,-33,36
18,19,Fulham,38,19,19,7,5,26,37,82,-45,26
19,20,Huddersfield,38,19,19,4,6,28,26,73,-47,18
