,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,25,7,1,76,19,57,82
1,2,Man City,32,15,17,24,4,4,81,23,58,76
3,3,Arsenal,33,16,17,19,7,7,67,43,24,64
2,4,Spurs,33,17,16,21,1,11,58,36,22,64
5,5,Chelsea,33,16,17,17,8,8,52,36,16,59
4,6,Man Utd,32,17,15,17,7,8,59,45,14,58
6,7,Wolves,33,16,17,14,8,11,42,38,4,50
9,8,Leicester,34,17,17,15,5,14,46,45,1,50
7,9,Watford,33,17,16,14,7,12,47,46,1,49
10,10,Everton,33,16,17,13,7,13,46,43,3,46
8,11,West Ham,33,16,17,12,7,14,41,47,-6,43
13,12,Crystal Palace,33,17,16,11,7,15,40,41,-1,40
11,13,Bournemouth,33,16,17,11,5,17,43,60,-17,38
12,14,Newcastle,34,17,17,9,10,15,33,44,-11,37
14,15,Brighton,33,17,16,10,7,16,34,46,-12,37
17,16,Cardiff,33,16,17,10,5,18,32,59,-27,35
16,17,Burnley,33,17,16,9,6,18,38,60,-22,33
15,18,Southampton,33,17,16,7,9,17,35,56,-21,30
18,19,Fulham,33,17,16,5,6,22,31,71,-40,21
19,20,Huddersfield,33,16,17,3,5,25,19,62,-43,14
