,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,28,9,1,85,23,62,93
1,2,Man City,38,19,19,28,5,5,94,32,62,89
4,3,Man Utd,38,19,19,22,8,8,68,46,22,76
2,4,Spurs,38,19,19,24,2,12,71,42,29,74
5,5,Chelsea,38,19,19,20,8,10,60,43,17,69
6,6,Wolves,38,19,19,16,8,14,52,50,2,69
3,7,Arsenal,38,19,19,18,11,9,71,51,20,66
9,8,Leicester,38,19,19,17,6,15,51,49,2,58
7,9,Watford,38,19,19,15,11,12,51,50,1,57
10,10,Everton,38,19,19,14,10,14,54,50,4,53
12,11,Newcastle,38,19,19,12,9,17,40,48,-8,48
8,12,West Ham,38,19,19,13,8,17,48,57,-9,48
11,13,Bournemouth,38,19,19,13,6,19,51,69,-18,47
14,14,Brighton,38,19,19,12,10,16,48,54,-6,46
13,15,Crystal Palace,38,19,19,11,10,17,46,51,-5,45
16,16,Burnley,38,19,19,11,7,20,41,65,-24,40
15,17,Southampton,38,19,19,7,14,17,42,63,-21,38
17,18,Cardiff,38,19,19,11,5,22,37,70,-33,38
18,19,Fulham,38,19,19,5,6,27,37,87,-50,21
19,20,Huddersfield,38,19,19,3,7,28,23,70,-47,16
