,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,27,8,1,84,24,60,89
1,2,Man City,35,17,18,28,3,4,86,23,63,87
2,3,Spurs,36,18,18,24,2,10,72,39,33,74
3,4,Arsenal,35,17,18,21,7,7,73,47,26,70
4,5,Man Utd,35,18,17,19,9,7,67,47,20,66
5,6,Chelsea,35,17,18,19,7,9,56,38,18,64
6,7,Wolves,36,18,18,15,9,12,47,42,5,54
9,8,Leicester,35,18,17,15,5,15,48,48,0,50
10,9,Everton,36,18,18,14,7,15,57,52,5,49
7,10,Watford,36,18,18,13,8,15,50,55,-5,47
14,11,Brighton,36,18,18,13,8,15,42,47,-5,47
11,12,Bournemouth,36,18,18,12,7,17,50,66,-16,43
8,13,West Ham,36,18,18,12,6,18,47,59,-12,42
15,14,Southampton,36,18,18,10,10,16,39,55,-16,40
12,15,Newcastle,36,18,18,10,8,18,35,50,-15,38
13,16,Crystal Palace,36,18,18,10,6,20,41,56,-15,36
16,17,Burnley,35,18,17,9,7,19,40,66,-26,34
17,18,Cardiff,36,18,18,10,4,22,34,66,-32,34
18,19,Fulham,36,18,18,5,6,25,32,80,-48,21
19,20,Huddersfield,36,18,18,5,5,26,24,64,-40,20
