,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,34,16,18,28,2,4,89,21,68,86
0,2,Liverpool,35,18,17,25,8,2,81,24,57,83
3,3,Arsenal,35,17,18,22,6,7,77,44,33,72
5,4,Chelsea,34,17,17,20,6,8,63,39,24,66
2,5,Spurs,35,18,17,21,3,11,61,38,23,66
4,6,Man Utd,34,18,16,18,8,8,63,46,17,62
7,7,Watford,35,18,17,15,8,12,54,53,1,53
6,8,Wolves,35,17,18,13,9,13,48,46,2,48
9,9,Leicester,35,18,17,14,6,15,47,48,-1,48
11,10,Bournemouth,35,17,18,14,6,15,51,60,-9,48
10,11,Everton,35,17,18,13,8,14,49,49,0,47
14,12,Brighton,35,18,17,11,9,15,40,49,-9,42
8,13,West Ham,35,17,18,12,6,17,46,58,-12,42
13,14,Crystal Palace,35,18,17,11,7,17,41,45,-4,40
12,15,Newcastle,35,17,18,10,8,17,34,48,-14,38
15,16,Southampton,35,18,17,9,11,15,42,57,-15,38
16,17,Burnley,34,17,17,8,7,19,38,67,-29,31
17,18,Cardiff,35,17,18,8,6,21,30,72,-42,30
18,19,Fulham,35,18,17,4,6,25,30,79,-49,18
19,20,Huddersfield,35,17,18,3,8,24,21,62,-41,17
