,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,34,16,18,27,3,4,90,25,65,84
0,2,Liverpool,34,17,17,25,7,2,74,20,54,82
2,3,Spurs,35,18,17,23,3,9,66,36,30,72
3,4,Arsenal,35,17,18,21,6,8,68,47,21,69
5,5,Chelsea,34,17,17,19,7,8,55,36,19,64
4,6,Man Utd,33,17,16,18,8,7,63,43,20,62
7,7,Watford,35,18,17,15,9,11,49,47,2,54
9,8,Leicester,34,17,17,15,5,14,47,44,3,50
8,9,West Ham,34,17,17,14,6,14,45,50,-5,48
6,10,Wolves,34,17,17,13,8,13,43,43,0,47
10,11,Everton,34,17,17,12,7,15,46,46,0,43
14,12,Brighton,34,17,17,11,7,16,40,49,-9,40
11,13,Bournemouth,35,17,18,11,7,17,48,66,-18,40
16,14,Burnley,34,17,17,10,7,17,41,62,-21,37
13,15,Crystal Palace,35,18,17,10,6,19,43,51,-8,36
12,16,Newcastle,34,17,17,9,8,17,33,48,-15,35
15,17,Southampton,34,17,17,8,10,16,38,57,-19,34
17,18,Cardiff,34,17,17,8,5,21,31,69,-38,29
18,19,Fulham,35,18,17,5,5,25,33,74,-41,20
19,20,Huddersfield,35,17,18,4,6,25,20,60,-40,18
