,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,32,15,17,26,2,4,81,21,60,80
0,2,Liverpool,33,17,16,24,8,1,74,20,54,80
2,3,Spurs,32,17,15,21,2,9,63,34,29,65
3,4,Arsenal,32,15,17,19,7,6,66,41,25,64
4,5,Man Utd,32,17,15,17,8,7,61,44,17,59
5,6,Chelsea,32,16,16,17,7,8,51,35,16,58
6,7,Wolves,33,16,17,14,9,10,44,39,5,51
9,8,Leicester,32,16,16,13,5,14,43,45,-2,44
7,9,Watford,32,17,15,12,8,12,44,47,-3,44
10,10,Everton,32,16,16,12,7,13,47,45,2,43
8,11,West Ham,32,15,17,12,6,14,44,50,-6,42
14,12,Brighton,32,16,16,10,8,14,33,42,-9,38
11,13,Bournemouth,32,16,16,11,5,16,45,59,-14,38
13,14,Crystal Palace,32,16,16,10,6,16,37,45,-8,36
12,15,Newcastle,32,16,16,9,8,15,32,42,-10,35
15,16,Southampton,33,17,16,8,10,15,35,52,-17,34
17,17,Cardiff,33,16,17,9,4,20,29,60,-31,31
16,18,Burnley,32,16,16,8,6,18,36,62,-26,30
18,19,Fulham,32,16,16,4,5,23,29,71,-42,17
19,20,Huddersfield,32,16,16,3,5,24,18,58,-40,14
