,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,26,10,2,82,24,58,88
1,2,Man City,38,19,19,27,4,7,89,31,58,85
2,3,Spurs,38,19,19,26,1,11,72,40,32,79
3,4,Arsenal,38,19,19,23,6,9,76,48,28,75
5,5,Chelsea,38,19,19,19,10,9,60,43,17,67
4,6,Man Utd,38,19,19,19,9,10,70,54,16,66
7,7,Watford,38,19,19,18,7,13,55,50,5,61
9,8,Leicester,38,19,19,15,6,17,47,54,-7,51
6,9,Wolves,38,19,19,14,8,16,43,46,-3,50
12,10,Newcastle,38,19,19,13,9,16,43,47,-4,48
11,11,Bournemouth,38,19,19,14,6,18,54,64,-10,48
10,12,Everton,38,19,19,13,8,17,48,52,-4,47
8,13,West Ham,38,19,19,13,7,18,49,59,-10,46
15,14,Southampton,38,19,19,10,13,15,41,55,-14,43
16,15,Burnley,38,19,19,12,6,20,46,71,-25,42
13,16,Crystal Palace,38,19,19,11,8,19,43,53,-10,41
14,17,Brighton,38,19,19,10,10,18,40,55,-15,40
17,18,Cardiff,38,19,19,11,6,21,36,64,-28,39
18,19,Fulham,38,19,19,10,5,23,40,73,-33,35
19,20,Huddersfield,38,19,19,4,5,29,23,74,-51,17
