,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,36,18,18,29,3,4,93,25,68,90
0,2,Liverpool,36,18,18,27,7,2,84,22,62,88
3,3,Arsenal,36,18,18,21,8,7,75,46,29,72
2,4,Spurs,36,18,18,22,3,11,68,41,27,69
5,5,Chelsea,36,18,18,20,7,9,61,47,14,68
4,6,Man Utd,36,18,18,19,8,9,71,52,19,67
6,7,Wolves,36,18,18,12,11,13,44,46,-2,60
7,8,Watford,36,18,18,15,8,13,49,54,-5,54
12,9,Newcastle,36,18,18,12,10,14,41,43,-2,49
9,10,Leicester,36,18,18,14,6,16,46,48,-2,49
10,11,Everton,36,18,18,13,7,16,50,53,-3,47
8,12,West Ham,36,18,18,12,7,17,42,55,-13,44
11,13,Bournemouth,36,18,18,12,6,18,46,64,-18,44
14,14,Brighton,36,18,18,12,6,18,39,53,-14,42
13,15,Crystal Palace,36,18,18,9,10,17,40,47,-7,39
15,16,Southampton,36,18,18,8,12,16,40,58,-18,39
16,17,Burnley,36,18,18,9,9,18,38,65,-27,36
17,18,Cardiff,36,18,18,9,5,22,32,68,-36,32
18,19,Fulham,36,18,18,7,6,23,39,75,-36,27
19,20,Huddersfield,36,18,18,5,7,24,23,59,-36,22
