,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,28,9,1,84,24,60,93
1,2,Man City,38,19,19,28,3,7,95,32,63,87
2,3,Spurs,38,19,19,25,2,11,73,44,29,77
4,4,Man Utd,38,19,19,22,9,7,72,47,25,77
3,5,Arsenal,38,19,19,22,8,8,75,46,29,75
5,6,Chelsea,38,19,19,21,8,9,63,42,21,72
6,7,Wolves,38,19,19,14,11,13,44,45,-1,66
7,8,Watford,38,19,19,17,9,12,57,52,5,61
10,9,Everton,38,19,19,15,9,14,56,48,8,55
9,10,Leicester,38,19,19,14,8,16,46,49,-3,51
8,11,West Ham,38,19,19,14,8,16,48,55,-7,51
11,12,Bournemouth,38,19,19,13,8,17,52,67,-15,49
12,13,Newcastle,38,19,19,10,12,16,33,45,-12,45
13,14,Crystal Palace,38,19,19,11,8,19,44,53,-9,43
14,15,Brighton,38,19,19,11,8,19,43,54,-11,41
15,16,Southampton,38,19,19,9,11,18,44,61,-17,41
16,17,Burnley,38,19,19,11,8,19,47,71,-24,41
17,18,Cardiff,38,19,19,8,7,23,32,70,-38,31
18,19,Fulham,38,19,19,4,8,26,34,86,-52,20
19,20,Huddersfield,38,19,19,3,6,29,21,72,-51,15
