,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,26,8,2,84,23,61,86
1,2,Man City,36,18,18,26,3,7,85,27,58,81
2,3,Spurs,36,18,18,23,3,10,69,40,29,72
6,4,Wolves,36,18,18,16,10,10,50,42,8,71
3,5,Arsenal,37,18,19,20,8,9,70,47,23,69
4,6,Man Utd,36,18,18,18,10,8,70,52,18,66
5,7,Chelsea,36,18,18,18,8,10,58,44,14,63
7,8,Watford,36,18,18,14,8,14,51,54,-3,51
8,9,West Ham,36,18,18,13,9,14,46,51,-5,49
9,10,Leicester,36,18,18,14,6,16,45,50,-5,49
11,11,Bournemouth,36,18,18,13,6,17,48,63,-15,47
12,12,Newcastle,36,18,18,11,9,16,38,44,-6,45
14,13,Brighton,37,19,18,11,11,15,43,51,-8,44
13,14,Crystal Palace,36,18,18,12,6,18,41,51,-10,44
10,15,Everton,36,18,18,11,9,16,47,53,-6,43
17,16,Cardiff,36,18,18,11,6,19,35,65,-30,39
16,17,Burnley,36,18,18,10,8,18,41,63,-22,38
15,18,Southampton,36,18,18,7,11,18,40,64,-24,35
18,19,Fulham,36,18,18,6,6,24,38,75,-37,24
19,20,Huddersfield,36,18,18,6,5,25,28,68,-40,23
