,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,32,15,17,26,2,4,85,24,61,80
0,2,Liverpool,33,17,16,24,7,2,75,22,53,79
3,3,Arsenal,33,16,17,20,6,7,69,45,24,66
5,4,Chelsea,33,16,17,20,6,7,57,33,24,66
2,5,Spurs,34,17,17,21,1,12,59,41,18,64
4,6,Man Utd,32,17,15,18,8,6,62,43,19,62
7,7,Watford,33,17,16,14,7,12,50,49,1,49
6,8,Wolves,33,16,17,13,9,11,41,37,4,48
9,9,Leicester,34,17,17,13,6,15,46,50,-4,45
11,10,Bournemouth,33,16,17,13,5,15,51,59,-8,44
10,11,Everton,33,16,17,12,7,14,48,44,4,43
8,12,West Ham,33,16,17,12,6,15,41,53,-12,42
13,13,Crystal Palace,33,17,16,11,6,16,44,43,1,39
14,14,Brighton,33,17,16,11,6,16,38,48,-10,39
12,15,Newcastle,34,17,17,10,8,16,35,46,-11,38
15,16,Southampton,33,17,16,8,9,16,38,56,-18,33
16,17,Burnley,33,17,16,9,6,18,37,62,-25,33
17,18,Cardiff,33,16,17,8,4,21,30,63,-33,28
19,19,Huddersfield,34,17,17,4,6,24,21,63,-42,18
18,20,Fulham,33,17,16,4,5,24,31,77,-46,17
