,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,27,9,2,83,27,56,90
1,2,Man City,38,19,19,28,4,6,94,29,65,88
4,3,Man Utd,38,19,19,23,8,7,73,46,27,77
3,4,Arsenal,38,19,19,23,6,9,82,53,29,75
2,5,Spurs,38,19,19,24,1,13,70,45,25,73
5,6,Chelsea,38,19,19,21,8,9,64,44,20,71
6,7,Wolves,38,19,19,19,8,11,56,42,14,65
9,8,Leicester,38,19,19,16,5,17,52,50,2,53
7,9,Watford,38,19,19,14,9,15,48,55,-7,51
8,10,West Ham,38,19,19,14,8,16,49,54,-5,50
13,11,Crystal Palace,38,19,19,14,6,18,50,53,-3,48
10,12,Everton,38,19,19,13,8,17,50,52,-2,47
11,13,Bournemouth,38,19,19,13,7,18,53,64,-11,46
14,14,Brighton,38,19,19,12,7,19,43,61,-18,43
15,15,Southampton,38,19,19,8,12,18,44,65,-21,36
12,16,Newcastle,38,19,19,9,9,20,35,56,-21,36
16,17,Burnley,38,19,19,9,9,20,42,68,-26,36
17,18,Cardiff,38,19,19,10,5,23,41,79,-38,35
18,19,Fulham,38,19,19,7,5,26,39,81,-42,26
19,20,Huddersfield,38,19,19,6,6,26,24,68,-44,24
