,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,35,17,18,29,2,4,93,24,69,89
0,2,Liverpool,36,18,18,26,7,3,79,21,58,85
3,3,Arsenal,35,17,18,21,7,7,75,47,28,71
4,4,Man Utd,35,18,17,20,7,8,66,47,19,69
5,5,Chelsea,35,17,18,20,7,8,57,37,20,68
6,6,Wolves,35,17,18,15,10,10,51,41,10,68
2,7,Spurs,36,18,18,21,2,13,60,42,18,65
7,8,Watford,35,18,17,14,8,13,55,50,5,51
10,9,Everton,36,18,18,14,8,14,53,51,2,51
9,10,Leicester,35,18,17,14,5,16,46,49,-3,48
12,11,Newcastle,35,17,18,12,8,15,38,44,-6,47
8,12,West Ham,36,18,18,13,7,16,43,52,-9,47
13,13,Crystal Palace,36,18,18,11,6,19,48,58,-10,41
14,14,Brighton,35,18,17,11,8,16,40,50,-10,41
11,15,Bournemouth,35,17,18,11,6,18,47,67,-20,41
15,16,Southampton,35,18,17,8,10,17,39,60,-21,37
16,17,Burnley,35,18,17,8,9,18,37,64,-27,33
17,18,Cardiff,36,18,18,9,6,21,31,68,-37,33
18,19,Fulham,36,18,18,6,5,25,36,81,-45,23
19,20,Huddersfield,36,18,18,4,6,26,22,63,-41,18
