,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,31,3,4,101,28,73,96
0,2,Liverpool,38,19,19,27,8,3,81,21,60,89
3,3,Arsenal,38,19,19,23,8,7,84,51,33,78
4,4,Man Utd,38,19,19,22,7,9,72,51,21,75
5,5,Chelsea,38,19,19,21,8,9,62,43,19,72
6,6,Wolves,38,19,19,16,11,11,57,44,13,72
2,7,Spurs,38,19,19,21,4,13,65,47,18,67
7,8,Watford,38,19,19,14,10,14,58,54,4,53
10,9,Everton,38,19,19,14,9,15,57,56,1,52
12,10,Newcastle,38,19,19,13,10,15,41,46,-5,52
8,11,West Ham,38,19,19,14,8,16,46,53,-7,51
9,12,Leicester,38,19,19,14,6,18,50,58,-8,49
11,13,Bournemouth,38,19,19,13,7,18,53,70,-17,48
14,14,Brighton,38,19,19,11,9,18,42,56,-14,42
13,15,Crystal Palace,38,19,19,11,6,21,49,63,-14,41
15,16,Southampton,38,19,19,9,10,19,44,68,-24,40
16,17,Burnley,38,19,19,9,10,19,42,69,-27,37
17,18,Cardiff,38,19,19,10,6,22,36,71,-35,36
18,19,Fulham,38,19,19,6,6,26,38,88,-50,24
19,20,Huddersfield,38,19,19,5,6,27,26,67,-41,21
