,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,30,3,5,99,26,73,93
0,2,Liverpool,38,19,19,26,11,1,86,28,58,89
3,3,Arsenal,38,19,19,23,7,8,80,45,35,77
4,4,Man Utd,38,19,19,20,10,8,65,47,18,72
2,5,Spurs,38,19,19,23,2,13,70,46,24,71
6,6,Wolves,38,19,19,16,8,14,49,51,-2,69
5,7,Chelsea,38,19,19,19,9,10,60,45,15,67
7,8,Watford,38,19,19,16,9,13,55,53,2,58
10,9,Everton,38,19,19,15,8,15,53,49,4,54
9,10,Leicester,38,19,19,14,8,16,48,52,-4,51
11,11,Bournemouth,38,19,19,14,7,17,55,65,-10,51
12,12,Newcastle,38,19,19,11,11,16,38,46,-8,47
8,13,West Ham,38,19,19,12,9,17,50,61,-11,46
15,14,Southampton,38,19,19,9,13,16,44,59,-15,43
13,15,Crystal Palace,38,19,19,10,10,18,44,56,-12,42
14,16,Brighton,38,19,19,11,7,20,40,58,-18,40
16,17,Burnley,38,19,19,11,7,20,45,68,-23,40
17,18,Cardiff,38,19,19,8,6,24,36,79,-43,30
18,19,Fulham,38,19,19,7,7,24,38,81,-43,28
19,20,Huddersfield,38,19,19,4,10,24,26,66,-40,22
