,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,27,8,1,85,22,63,89
1,2,Man City,35,17,18,26,3,6,86,27,59,81
3,3,Arsenal,35,17,18,21,7,7,75,46,29,71
4,4,Man Utd,35,18,17,20,8,7,68,47,21,70
2,5,Spurs,36,18,18,22,2,12,67,43,24,68
6,6,Wolves,35,17,18,15,8,12,47,44,3,66
5,7,Chelsea,35,17,18,18,8,9,54,41,13,63
8,8,West Ham,36,18,18,15,7,14,49,50,-1,53
7,9,Watford,35,18,17,13,10,12,46,48,-2,50
9,10,Leicester,35,18,17,13,8,14,44,45,-1,48
13,11,Crystal Palace,36,18,18,11,9,16,44,48,-4,44
11,12,Bournemouth,35,17,18,12,6,17,46,65,-19,44
10,13,Everton,36,18,18,11,9,16,48,51,-3,43
14,14,Brighton,35,18,17,11,9,15,43,47,-4,42
12,15,Newcastle,35,17,18,10,9,16,34,46,-12,42
15,16,Southampton,35,18,17,8,11,16,39,59,-20,38
17,17,Cardiff,36,18,18,9,7,20,35,65,-30,34
16,18,Burnley,35,18,17,8,7,20,38,68,-30,31
18,19,Fulham,36,18,18,6,6,24,33,73,-40,24
19,20,Huddersfield,36,18,18,3,8,25,19,65,-46,17
