,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,26,7,3,79,21,58,85
1,2,Man City,36,18,18,26,6,4,90,28,62,84
3,3,Arsenal,37,18,19,23,6,8,80,55,25,75
2,4,Spurs,37,19,18,22,4,11,65,40,25,70
5,5,Chelsea,37,18,19,21,6,10,62,40,22,69
4,6,Man Utd,36,18,18,18,8,10,64,54,10,62
7,7,Watford,37,19,18,18,7,12,57,51,6,61
6,8,Wolves,36,18,18,13,11,12,49,44,5,50
8,9,West Ham,36,18,18,14,8,14,50,53,-3,50
10,10,Everton,37,18,19,13,8,16,53,52,1,47
9,11,Leicester,36,18,18,14,5,17,43,47,-4,47
14,12,Brighton,37,19,18,12,9,16,40,50,-10,45
13,13,Crystal Palace,37,19,18,12,8,17,47,51,-4,44
11,14,Bournemouth,37,18,19,12,8,17,51,63,-12,44
12,15,Newcastle,36,18,18,11,10,15,38,49,-11,43
15,16,Southampton,36,18,18,9,10,17,42,60,-18,37
16,17,Burnley,37,19,18,9,8,20,40,68,-28,35
17,18,Cardiff,37,18,19,9,7,21,36,74,-38,34
18,19,Fulham,36,18,18,5,7,24,35,81,-46,22
19,20,Huddersfield,36,18,18,4,5,27,22,62,-40,17
