,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,26,7,3,79,21,58,85
1,2,Man City,36,18,18,26,6,4,90,28,62,84
5,3,Chelsea,35,17,18,21,6,8,61,36,25,69
2,4,Spurs,36,18,18,22,3,11,63,38,25,69
3,5,Arsenal,35,17,18,21,6,8,76,54,22,69
4,6,Man Utd,35,18,17,17,8,10,62,53,9,59
7,7,Watford,36,18,18,17,7,12,55,51,4,58
6,8,Wolves,36,18,18,13,11,12,49,44,5,50
8,9,West Ham,36,18,18,14,8,14,50,53,-3,50
9,10,Leicester,35,18,17,14,5,16,43,45,-2,47
14,11,Brighton,36,18,18,12,9,15,39,48,-9,45
10,12,Everton,36,18,18,12,8,16,52,52,0,44
13,13,Crystal Palace,36,18,18,12,7,17,45,49,-4,43
12,14,Newcastle,36,18,18,11,10,15,38,49,-11,43
11,15,Bournemouth,36,18,18,12,7,17,49,61,-12,43
15,16,Southampton,36,18,18,9,10,17,42,60,-18,37
16,17,Burnley,36,18,18,9,8,19,40,67,-27,35
17,18,Cardiff,36,18,18,9,6,21,34,72,-38,33
18,19,Fulham,36,18,18,5,7,24,35,81,-46,22
19,20,Huddersfield,36,18,18,4,5,27,22,62,-40,17
