,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,32,15,17,26,2,4,85,21,64,80
0,2,Liverpool,33,17,16,24,8,1,73,19,54,80
4,3,Man Utd,32,17,15,19,7,6,62,41,21,64
2,4,Spurs,32,17,15,20,3,9,58,33,25,63
3,5,Arsenal,32,15,17,18,7,7,66,44,22,61
5,6,Chelsea,32,16,16,18,6,8,54,34,20,60
6,7,Wolves,33,16,17,14,8,11,44,39,5,50
7,8,Watford,33,17,16,13,7,13,46,49,-3,46
11,9,Bournemouth,33,16,17,13,5,15,49,56,-7,44
8,10,West Ham,32,15,17,12,7,13,43,48,-5,43
9,11,Leicester,33,17,16,12,6,15,40,46,-6,42
10,12,Everton,32,16,16,11,8,13,45,44,1,41
14,13,Brighton,32,16,16,11,6,15,38,43,-5,39
13,14,Crystal Palace,33,17,16,10,7,16,37,42,-5,37
12,15,Newcastle,33,16,17,9,9,15,33,43,-10,36
15,16,Southampton,33,17,16,8,9,16,35,57,-22,33
17,17,Cardiff,33,16,17,9,4,20,28,65,-37,31
16,18,Burnley,33,17,16,8,6,19,35,65,-30,30
19,19,Huddersfield,33,16,17,4,6,23,19,57,-38,18
18,20,Fulham,33,17,16,4,5,24,31,75,-44,17
