,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,30,3,5,96,29,67,93
0,2,Liverpool,38,19,19,26,11,1,78,22,56,89
4,3,Man Utd,38,19,19,22,8,8,77,52,25,76
2,4,Spurs,38,19,19,24,2,12,68,45,23,74
3,5,Arsenal,38,19,19,21,9,8,73,48,25,73
5,6,Chelsea,38,19,19,21,9,8,61,41,20,73
6,7,Wolves,38,19,19,16,10,12,50,44,6,71
7,8,Watford,38,19,19,16,9,13,52,50,2,58
9,9,Leicester,38,19,19,15,8,15,49,50,-1,54
8,10,West Ham,38,19,19,14,8,16,49,55,-6,51
10,11,Everton,38,19,19,13,8,17,52,54,-2,48
13,12,Crystal Palace,38,19,19,12,7,19,47,51,-4,45
11,13,Bournemouth,38,19,19,12,7,19,51,68,-17,45
12,14,Newcastle,38,19,19,11,8,19,37,50,-13,44
14,15,Brighton,38,19,19,12,8,18,41,55,-14,44
15,16,Southampton,38,19,19,9,11,18,44,61,-17,41
16,17,Burnley,38,19,19,10,8,20,45,66,-21,38
17,18,Cardiff,38,19,19,11,5,22,36,72,-36,38
18,19,Fulham,38,19,19,6,6,26,34,79,-45,24
19,20,Huddersfield,38,19,19,3,7,28,21,69,-48,16
