,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,27,8,1,79,18,61,89
1,2,Man City,35,17,18,27,2,6,88,25,63,83
3,3,Arsenal,35,17,18,22,6,7,75,47,28,73
2,4,Spurs,36,18,18,23,1,12,67,44,23,70
4,5,Man Utd,35,18,17,20,8,7,69,49,20,70
6,6,Wolves,35,17,18,16,8,11,54,45,9,69
5,7,Chelsea,35,17,18,20,7,8,57,38,19,68
7,8,Watford,35,18,17,15,8,12,49,46,3,54
11,9,Bournemouth,36,18,18,13,8,15,49,56,-7,49
9,10,Leicester,35,18,17,13,8,14,43,45,-2,48
8,11,West Ham,36,18,18,13,8,15,46,51,-5,48
10,12,Everton,36,18,18,12,8,16,46,48,-2,45
12,13,Newcastle,35,17,18,10,9,16,35,46,-11,42
13,14,Crystal Palace,36,18,18,10,7,19,44,55,-11,39
15,15,Southampton,36,18,18,8,12,16,36,54,-18,39
14,16,Brighton,35,18,17,9,9,17,35,50,-15,36
17,17,Cardiff,36,18,18,10,5,21,31,65,-34,35
16,18,Burnley,35,18,17,9,6,20,36,67,-31,33
19,19,Huddersfield,36,18,18,5,5,26,22,63,-41,20
18,20,Fulham,36,18,18,4,5,27,30,79,-49,17
