,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,34,17,17,25,8,1,73,19,54,83
1,2,Man City,34,16,18,26,2,6,84,27,57,80
2,3,Spurs,35,18,17,24,1,10,70,38,32,73
3,4,Arsenal,35,17,18,22,6,7,71,42,29,73
4,5,Man Utd,33,17,16,19,8,6,68,45,23,67
5,6,Chelsea,34,17,17,19,7,8,53,34,19,65
6,7,Wolves,34,17,17,14,9,11,42,40,2,64
7,8,Watford,35,18,17,14,8,13,54,56,-2,51
9,9,Leicester,34,17,17,14,6,14,45,45,0,49
11,10,Bournemouth,35,17,18,14,5,16,51,61,-10,49
10,11,Everton,34,17,17,13,7,14,46,44,2,47
8,12,West Ham,34,17,17,12,7,15,45,53,-8,44
12,13,Newcastle,34,17,17,10,9,15,35,44,-9,42
15,14,Southampton,34,17,17,8,12,14,40,54,-14,39
14,15,Brighton,34,17,17,10,7,17,37,53,-16,37
13,16,Crystal Palace,35,18,17,9,7,19,37,50,-13,36
17,17,Cardiff,34,17,17,9,4,21,31,61,-30,31
16,18,Burnley,34,17,17,8,6,20,35,65,-30,30
18,19,Fulham,35,18,17,5,5,25,34,77,-43,20
19,20,Huddersfield,35,17,18,3,6,26,21,64,-43,15
