,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,35,17,18,26,4,5,87,27,60,82
0,2,Liverpool,36,18,18,24,9,3,77,26,51,81
2,3,Spurs,36,18,18,23,2,11,68,39,29,71
5,4,Chelsea,35,17,18,21,7,7,62,39,23,71
3,5,Arsenal,35,17,18,21,6,8,74,47,27,70
4,6,Man Utd,35,18,17,19,9,7,75,53,22,68
6,7,Wolves,36,18,18,14,10,12,50,51,-1,65
7,8,Watford,36,18,18,18,7,11,63,53,10,62
9,9,Leicester,35,18,17,16,5,14,51,43,8,54
11,10,Bournemouth,36,18,18,15,5,16,57,63,-6,52
10,11,Everton,36,18,18,13,8,15,51,51,0,48
8,12,West Ham,36,18,18,12,7,17,45,59,-14,44
13,13,Crystal Palace,36,18,18,11,7,18,45,48,-3,42
12,14,Newcastle,35,17,18,10,9,16,35,47,-12,42
15,15,Southampton,36,18,18,7,12,17,42,64,-22,36
14,16,Brighton,35,18,17,9,8,18,33,48,-15,35
16,17,Burnley,35,18,17,8,8,19,37,66,-29,32
17,18,Cardiff,36,18,18,9,5,22,31,69,-38,32
18,19,Fulham,36,18,18,5,7,24,34,80,-46,22
19,20,Huddersfield,36,18,18,5,5,26,20,64,-44,20
