,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,32,15,17,25,3,4,83,21,62,78
0,2,Liverpool,33,17,16,23,8,2,72,21,51,77
3,3,Arsenal,33,16,17,20,6,7,71,43,28,67
5,4,Chelsea,33,16,17,20,6,7,57,35,22,67
2,5,Spurs,33,17,16,21,2,10,59,36,23,65
4,6,Man Utd,32,17,15,17,8,7,65,48,17,61
6,7,Wolves,33,16,17,12,10,11,43,45,-2,59
7,8,Watford,33,17,16,15,7,11,54,51,3,53
9,9,Leicester,34,17,17,15,5,14,48,43,5,51
10,10,Everton,33,16,17,13,7,13,48,44,4,47
8,11,West Ham,33,16,17,12,6,15,42,49,-7,43
11,12,Bournemouth,33,16,17,12,5,16,47,60,-13,43
12,13,Newcastle,34,17,17,10,8,16,34,46,-12,41
13,14,Crystal Palace,33,17,16,10,6,17,40,44,-4,38
14,15,Brighton,33,17,16,9,8,16,33,45,-12,35
15,16,Southampton,33,17,16,7,11,15,38,55,-17,35
16,17,Burnley,33,17,16,8,7,18,36,64,-28,31
17,18,Cardiff,33,16,17,9,4,20,29,65,-36,31
18,19,Fulham,33,17,16,4,6,23,30,74,-44,18
19,20,Huddersfield,33,16,17,4,5,24,19,59,-40,17
